47-0000	Construction and Extraction Occupations
47-1000	Supervisors of Construction and Extraction Workers
47-1010	First-Line Supervisors of Construction Trades and Extraction Workers
47-1011	First-Line Supervisors of Construction Trades and Extraction Workers
47-2000	Construction Trades Workers
47-2010	Boilermakers
47-2011	Boilermakers
47-2020	Brickmasons, Blockmasons, and Stonemasons
47-2021	Brickmasons and Blockmasons
47-2022	Stonemasons
47-2030	Carpenters
47-2031	Carpenters
47-2040	Carpet, Floor, and Tile Installers and Finishers
47-2041	Carpet Installers
47-2042	Floor Layers, Except Carpet, Wood, and Hard Tiles
47-2043	Floor Sanders and Finishers
47-2044	Tile and Stone Setters
47-2050	Cement Masons, Concrete Finishers, and Terrazzo Workers
47-2051	Cement Masons and Concrete Finishers
47-2053	Terrazzo Workers and Finishers
47-2060	Construction Laborers
47-2061	Construction Laborers
47-2070	Construction Equipment Operators
47-2071	Paving, Surfacing, and Tamping Equipment Operators
47-2072	Pile Driver Operators
47-2073	Operating Engineers and Other Construction Equipment Operators
47-2080	Drywall Installers, Ceiling Tile Installers, and Tapers
47-2081	Drywall and Ceiling Tile Installers
47-2082	Tapers
47-2110	Electricians
47-2111	Electricians
47-2120	Glaziers
47-2121	Glaziers
47-2130	Insulation Workers
47-2131	Insulation Workers, Floor, Ceiling, and Wall
47-2132	Insulation Workers, Mechanical
47-2140	Painters and Paperhangers
47-2141	Painters, Construction and Maintenance
47-2142	Paperhangers
47-2150	Pipelayers, Plumbers, Pipefitters, and Steamfitters
47-2151	Pipelayers
47-2152	Plumbers, Pipefitters, and Steamfitters
47-2160	Plasterers and Stucco Masons
47-2161	Plasterers and Stucco Masons
47-2170	Reinforcing Iron and Rebar Workers
47-2171	Reinforcing Iron and Rebar Workers
47-2180	Roofers
47-2181	Roofers
47-2210	Sheet Metal Workers
47-2211	Sheet Metal Workers
47-2220	Structural Iron and Steel Workers
47-2221	Structural Iron and Steel Workers
47-2230	Solar Photovoltaic Installers
47-2231	Solar Photovoltaic Installers
47-3000	Helpers, Construction Trades
47-3010	Helpers, Construction Trades
47-3011	Helpers--Brickmasons, Blockmasons, Stonemasons, and Tile and Marble Setters
47-3012	Helpers--Carpenters
47-3013	Helpers--Electricians
47-3014	Helpers--Painters, Paperhangers, Plasterers, and Stucco Masons
47-3015	Helpers--Pipelayers, Plumbers, Pipefitters, and Steamfitters
47-3016	Helpers--Roofers
47-3019	Helpers, Construction Trades, All Other
47-4000	Other Construction and Related Workers
