Name,Address1,Address2,City,State,Zip,Phone,Latitude,Longitude,ToolType,Distance,URL
TOOL RENTAL & SUPPLY," LOMAS VERDES AVE, IC 20",,BAYAMON,PR,00956,(787) 798-8433,18.375553,-66.08953,Power Tools,45.60226301307224,
HOME DEPOT #6411,3305 AVENIDA BARAMAYA,  SUITE 101,PONCE,PR,00728,(787) 843-0001,18.0574,-66.647416,"Power Tools, Outdoor Power Equipment, Tool Rental",10.962180021131672,https://www.homedepot.com/b/Tools/Makita/N-5yc1vZc1xyZyg?cm_sp=vanity-_-Makita-_-FEB20&storeSelection=
The Home Depot,REYNA DEL SUR SHOPPING,,PONCE,PR,00728,(787) 843-0001,17.9982,-66.6418,"Power Tools, Outdoor Power Equipment, Tool Rental",14.554064001917101,https://www.homedepot.com/b/Tools/Makita/N-5yc1vZc1xyZyg?cm_sp=vanity-_-Makita-_-FEB20&storeSelection=
HOME DEPOT RENTAL #6403,LAS CATALINAS MALL,,CAGUAS,PR,00726,(787) 703-1411,18.215698,-66.414667,"Power Tools, Outdoor Power Equipment, Tool Rental",22.346518493826018,https://www.homedepot.com/b/Tools/Makita/N-5yc1vZc1xyZyg?cm_sp=vanity-_-Makita-_-FEB20&storeSelection=
TEDDY DIAZ FASTENING SYSTEMS,704 AVENIDA ANDALUCIA,,PUERTO NUEVO,PR,00921,(787) 781-9889,18.215698,-66.414667,Power Tools,22.346518493826018,
HOME DEPOT #6407,2765 AVENIDA HOSTOS,  STE 140,MAYAGUEZ,PR,00682,(787) 834-4200,18.201346,-67.145152,"Power Tools, Outdoor Power Equipment, Tool Rental",25.82993821547061,https://www.homedepot.com/b/Tools/Makita/N-5yc1vZc1xyZyg?cm_sp=vanity-_-Makita-_-FEB20&storeSelection=
HOME DEPOT #6405,REXVILLE TOWN CTR STATE,"  RD 7, 167 LAS CUBRES AVE",BAYAMON,PR,00960,(787) 279-7990,18.39,-66.16,"Power Tools, Outdoor Power Equipment, Tool Rental",41.54103495403369,https://www.homedepot.com/b/Tools/Makita/N-5yc1vZc1xyZyg?cm_sp=vanity-_-Makita-_-FEB20&storeSelection=
ASTRO INDUSTRIAL SUPPLY INC,AVE FERNANDEZ #519,  PUERTA DE TIERRA,SAN JUAN,PR,00901,(787) 721-4041,18.411362,-66.059861,Power Tools,48.2257613959055,
HOME DEPOT #6408,STATE HWY 52 AND SR 842,  MONTE HIEDRA TOWN CTR,SAN JUAN,PR,00928,(787) 731-1200,18.4,-66.05,"Power Tools, Outdoor Power Equipment, Tool Rental",48.58715558509197,https://www.homedepot.com/b/Tools/Makita/N-5yc1vZc1xyZyg?cm_sp=vanity-_-Makita-_-FEB20&storeSelection=
HOME DEPOT #6409,65TH INFANTRY AVE KM11.7,  LOS COLOBUS SHOPPING CTR,CAROLINA,PR,00979,(787) 257-1555,18.387778,-66.043086,"Power Tools, Outdoor Power Equipment, Tool Rental",48.76477082468551,https://www.homedepot.com/b/Tools/Makita/N-5yc1vZc1xyZyg?cm_sp=vanity-_-Makita-_-FEB20&storeSelection=
HOME DEPOT #6402,133 65TH AV BO SAN ANTON PARQUE ESCORIAL,,CAROLINA,PR,00983,(787) 776-1000,18.437031,-65.980933,"Power Tools, Outdoor Power Equipment, Tool Rental",47.551844449188984,https://www.homedepot.com/b/Tools/Makita/N-5yc1vZc1xyZyg?cm_sp=vanity-_-Makita-_-FEB20&storeSelection=
HOME DEPOT #8201,1-2 DONOE ROAD 4000,,SAINT THOMAS,VI,00802,(340) 777-1077,18.348149,-64.89531,"Power Tools, Outdoor Power Equipment, Tool Rental",48.52434071716741,https://www.homedepot.com/b/Tools/Makita/N-5yc1vZc1xyZyg?cm_sp=vanity-_-Makita-_-FEB20&storeSelection=
COASTAL TOOL & SUPPLY,571 New Park Avenue,,WEST HARTFORD,CT,06110,(860) 233-8213,41.736079,-72.722512,Power Tools,23.13417741083625,https://www.coastaltool.com/pages/makita-tools
HOME DEPOT #6214,136 ELM STREET,,ENFIELD,CT,06082,(860) 745-1900,41.998136,-72.577721,"Power Tools, Outdoor Power Equipment, Tool Rental",5.082573492196982,https://www.homedepot.com/b/Tools/Makita/N-5yc1vZc1xyZyg?cm_sp=vanity-_-Makita-_-FEB20&storeSelection=
Tractor Supply Co. #718,67 PALOMBA DR,,Enfield,CT,06082,(860) 749-2853,41.990228,-72.569764,Power Tools,5.759546151902646,https://www.tractorsupply.com/
HOME DEPOT #8923,514 EAST MAIN STREET,,WESTFIELD,MA,01085,(413) 564-0680,42.112767,-72.720009,"Power Tools, Outdoor Power Equipment, Tool Rental",5.977113204036925,https://www.homedepot.com/b/Tools/Makita/N-5yc1vZc1xyZyg?cm_sp=vanity-_-Makita-_-FEB20&storeSelection=
Tractor Supply Co. #1283,673 COLLEGE HWY,,Southwick,MA,01077,(413) 569-0090,42.071727,-72.766019,Power Tools,7.258336353518213,https://www.tractorsupply.com/
HOME DEPOT #2610,655 MEMORIAL DRIVE,,CHICOPEE,MA,01020,(413) 593-5400,42.173773,-72.57628,"Power Tools, Outdoor Power Equipment, Tool Rental",8.089000622999798,https://www.homedepot.com/b/Tools/Makita/N-5yc1vZc1xyZyg?cm_sp=vanity-_-Makita-_-FEB20&storeSelection=
HOME DEPOT LAWN/GARDEN TF #5342,1111 SOUTHAMPTON ROAD,,WESTFIELD,MA,01085,(715) 421-1510,42.175359,-72.727124,"Power Tools, Outdoor Power Equipment, Tool Rental",9.390287364762647,https://www.homedepot.com/b/Tools/Makita/N-5yc1vZc1xyZyg?cm_sp=vanity-_-Makita-_-FEB20&storeSelection=
HOME DEPOT #2678,2001 BOSTON RD.,,WILBRAHAM,MA,01095,(413) 543-8100,42.148901,-72.477053,"Power Tools, Outdoor Power Equipment, Tool Rental",9.665975199420314,https://www.homedepot.com/b/Tools/Makita/N-5yc1vZc1xyZyg?cm_sp=vanity-_-Makita-_-FEB20&storeSelection=
Tractor Supply Co. #2603,1603 HOPMEADOW ST,,SIMSBURY,CT,06070-1433,(860) 408-0032,41.916991,-72.791452,Power Tools,13.209545645453465,https://www.tractorsupply.com/
Tractor Supply Co. #604,2 COLLEGE HWY,,Southampton,MA,01073,(413) 527-5566,42.253942,-72.697177,Power Tools,13.739893522427113,https://www.tractorsupply.com/
SITEONE LANDSCAPE SUPPLY,171 COMMERCE WAY,,SOUTH WINDSOR,CT,06074,(860) 282-7661,41.858542,-72.593818,Outdoor Power Equipment,14.206511245822483,
Tractor Supply Co. #1664,404 TALCOTTVILLE RD,,Vernon,CT,06066,(860) 872-0839,41.844071,-72.486144,Power Tools,16.722552044294357,https://www.tractorsupply.com/
Tractor Supply Co. #2419,54 WEST STAFFORD ROAD,,Stafford Springs,CT,06076,(860) 684-2626,41.964515,-72.325626,Power Tools,16.82420199673276,https://www.tractorsupply.com/
HOME DEPOT #6228,55 GRANBY STREET,,BLOOMFIELD,CT,06002,(860) 286-0300,41.816399,-72.709216,"Power Tools, Outdoor Power Equipment, Tool Rental",17.569586671941885,https://www.homedepot.com/b/Tools/Makita/N-5yc1vZc1xyZyg?cm_sp=vanity-_-Makita-_-FEB20&storeSelection=
Tractor Supply Co. #1341,30 TURKEY HILL RD,,Belchertown,MA,01007,(413) 323-1117,42.266478,-72.419073,Power Tools,17.62246659500071,https://www.tractorsupply.com/
HOME DEPOT #6207,80 BUCKLAND HILLS DRIVE,,MANCHESTER,CT,06040,(860) 644-5588,41.806217,-72.55489,"Power Tools, Outdoor Power Equipment, Tool Rental",18.099064433977002,https://www.homedepot.com/b/Tools/Makita/N-5yc1vZc1xyZyg?cm_sp=vanity-_-Makita-_-FEB20&storeSelection=
HOME DEPOT #8452,350 RUSSELL STREET,,HADLEY,MA,01035,(413) 587-2790,42.356913,-72.552749,"Power Tools, Outdoor Power Equipment, Tool Rental",20.69301230046995,https://www.homedepot.com/b/Tools/Makita/N-5yc1vZc1xyZyg?cm_sp=vanity-_-Makita-_-FEB20&storeSelection=
PETALS & PAWS,465 ALBANY TURNPIKE,,CANTON,CT,06019,,41.8355,-72.9273,Outdoor Power Equipment,22.097014231157996,
HOME DEPOT #6210,503 NEW PARK AVE.,,WEST HARTFORD,CT,06110,(860) 231-1919,41.740405,-72.718502,"Power Tools, Outdoor Power Equipment, Tool Rental",22.797719535081896,https://www.homedepot.com/b/Tools/Makita/N-5yc1vZc1xyZyg?cm_sp=vanity-_-Makita-_-FEB20&storeSelection=
Tractor Supply Co. #754,380 NEW HARTFORD RD,,Barkhamsted,CT,06063,(860) 738-9696,41.911904,-73.041146,Power Tools,23.790064863510754,https://www.tractorsupply.com/
HOME DEPOT #6220,115 PUTNAM BLVD,,GLASTONBURY,CT,06033,(860) 657-1184,41.701832,-72.600079,"Power Tools, Outdoor Power Equipment, Tool Rental",24.98752426771494,https://www.homedepot.com/b/Tools/Makita/N-5yc1vZc1xyZyg?cm_sp=vanity-_-Makita-_-FEB20&storeSelection=
Tractor Supply Co. #1493,361 SCOTT SWAMP RD,,Farmington,CT,06032,(860) 676-0295,41.701152,-72.888151,Power Tools,28.43274713387226,https://www.tractorsupply.com/
Tractor Supply Co. #1406,178 MAIN ST,,Sturbridge,MA,01566,(508) 347-3057,42.096695,-72.070862,Power Tools,28.556268476838138,https://www.tractorsupply.com/
HOME DEPOT #6203,225 BERLIN TURNPIKE,,BERLIN,CT,06037,(860) 828-9440,41.648413,-72.729325,"Power Tools, Outdoor Power Equipment, Tool Rental",29.14686463622561,https://www.homedepot.com/b/Tools/Makita/N-5yc1vZc1xyZyg?cm_sp=vanity-_-Makita-_-FEB20&storeSelection=
HOME DEPOT #6229,1149 FARMINGTON AVENUE,,BRISTOL,CT,06010,(860) 582-5329,41.695914,-72.908358,"Power Tools, Outdoor Power Equipment, Tool Rental",29.256647419964487,https://www.homedepot.com/b/Tools/Makita/N-5yc1vZc1xyZyg?cm_sp=vanity-_-Makita-_-FEB20&storeSelection=
HOME DEPOT #6230,418 BOSTON POST ROAD,,WINDHAM,CT,06256,(860) 465-5631,41.74203,-72.175653,"Power Tools, Outdoor Power Equipment, Tool Rental",32.051143365261154,https://www.homedepot.com/b/Tools/Makita/N-5yc1vZc1xyZyg?cm_sp=vanity-_-Makita-_-FEB20&storeSelection=
Tractor Supply Co. #1360,476 BOSTON POST RD,,North Windham,CT,06256,(860) 450-1065,41.744832,-72.16882,Power Tools,32.172972715762626,https://www.tractorsupply.com/
Tractor Supply Co. #2586,626R TORRINGTON RD,,LITCHFIELD,CT,06759-2623,(860) 489-0541,41.782749,-73.152823,Power Tools,33.34722457156897,https://www.tractorsupply.com/
Tractor Supply Co. #2106,815 NEWFIELD ST,,Middletown,CT,06457,(860) 613-2796,41.581313,-72.673512,Power Tools,33.383222454393646,https://www.tractorsupply.com/
HOME DEPOT #6208,89 INTERSTATE PARK DRIVE,,SOUTHINGTON,CT,06489,(860) 621-6770,41.575151,-72.738268,"Power Tools, Outdoor Power Equipment, Tool Rental",34.21649472846597,https://www.homedepot.com/b/Tools/Makita/N-5yc1vZc1xyZyg?cm_sp=vanity-_-Makita-_-FEB20&storeSelection=
