ID,Name,Address,City,State,Postal Code,Latitude,Longitude,Phone,Today’s Hours
28758,GARDEN MAX BAYAMON,SIERRA BAYMON,BAYAMON,PR,00959,18.40461,-66.16084,787-705-4646,Closed
9387,GARDEN MAX SAN JUAN,1605 Ave Jesus T. Pinero,SAN JUAN,PR,00920,18.40086,-66.09501,(787) 706-1219,Closed
19603,Garden Max - Caguas,CAGUAS INDUSTRIAL PARK CALLE D EDIFICIO B-6,Caguas,PR,00725,18.24285,-66.03866,(787) 747-9050,Closed
29686,"Taplin Yard, Pump and Power Equip",197 Main Street,Agawam,MA,01001,42.086239,-72.619538,(413) 781-4352,8:00am - 5:00pm
15879,Rocky's Hardware Inc.,10 Springfield Street,Agawam,MA,01001,42.088664,-72.62796,(413) 786-6776,8:00am - 7:00pm
20509,Rocky's Hardware Inc.,50 Island Pond Road,Springfield,MA,01118,42.094688,-72.551723,(413) 781-0350,7:00am - 8:00pm
30795,Smithland of Westfield,81 Springfield Road,Westfield,MA,01085,42.110828,-72.711299,(413) 642-5425,Closed
19642,Bobcat of Greater Springfield,181 Wayside Avenue,West Springfield,MA,01089,42.143606,-72.621789,(413) 746-4647,7:30am - 5:00pm
15878,Rocky's Hardware Inc.,28 North Main Street,East Longmeadow,MA,01028,42.0659,-72.51422,(413) 525-4224,8:00am - 7:00pm
21679,MB Tractor & Equipment,1497 Riverdale Street,West Springfield,MA,01089,42.14541,-72.6289,(413) 536-8901,7:30am - 5:00pm
20510,Rocky's Hardware Inc.,1381 Liberty Street,Springfield,MA,01104,42.140249,-72.578226,(413) 781-0578,7:00am - 7:00pm
14661,Westfield Equipment Service,28 Mechanic Street,Westfield,MA,01085,42.12201,-72.74585,(413) 562-5050,7:00am - 5:00pm
17183,Rocky's Hardware Inc.,2 Free Street,Westfield,MA,01085,42.121616,-72.746896,(413) 568-9251,8:00am - 7:00pm
10738,Devon Lane Power Equipment,10 Ware Road,Belchertown,MA,01007,42.284372,-72.390738,(413) 323-5435,9:00am - 6:00pm
18106,Rocky's Hardware Inc.,487 Newton Street,South Hadley,MA,01075,42.23684,-72.581454,(413) 538-8327,8:00am - 7:00pm
